Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 07:47:25,13-02-2024 07:47:27,2.150s,PASSED
delay(3),Chrome 121.0.0.0,,,13-02-2024 07:47:27,13-02-2024 07:47:30,3.013s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,13-02-2024 07:47:30,13-02-2024 07:47:31,1.509s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__usernameRegisterPage""), username)",Chrome 121.0.0.0,,,13-02-2024 07:47:31,13-02-2024 07:47:38,6.099s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,13-02-2024 07:47:38,13-02-2024 07:47:39,1.958s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,13-02-2024 07:47:39,13-02-2024 07:47:40,0.913s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), password)",Chrome 121.0.0.0,,,13-02-2024 07:47:40,13-02-2024 07:47:42,1.479s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_PERSONAL DETAILS_first_nameRegisterPage""), firstName)",Chrome 121.0.0.0,,,13-02-2024 07:47:42,13-02-2024 07:47:44,1.633s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_last_nameR_6ef033""), lastName)",Chrome 121.0.0.0,,,13-02-2024 07:47:44,13-02-2024 07:47:45,1.296s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_phone_numb_7c938a""), phoneNumber)",Chrome 121.0.0.0,,,13-02-2024 07:47:45,13-02-2024 07:47:46,1.663s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/select_AfganistanAlbaniaAlgeriaAmerican Sam_3cef8a""), country, true)",Chrome 121.0.0.0,,,13-02-2024 07:47:46,13-02-2024 07:47:57,10.597s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Country_cityRegisterPage""), city)",Chrome 121.0.0.0,,,13-02-2024 07:47:57,13-02-2024 07:47:58,0.971s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 25 character_addressReg_9e23b3""), address)",Chrome 121.0.0.0,,,13-02-2024 07:47:58,13-02-2024 07:47:59,1.247s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 50 character_state__pro_272a54""), region)",Chrome 121.0.0.0,,,13-02-2024 07:47:59,13-02-2024 07:48:01,1.319s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 10 character_postal_cod_639c2f""), postCode)",Chrome 121.0.0.0,,,13-02-2024 07:48:01,13-02-2024 07:48:02,1.326s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Receive exclusive offers and promotio_5c7450""))",Chrome 121.0.0.0,,,13-02-2024 07:48:02,13-02-2024 07:48:02,0.547s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,13-02-2024 07:48:02,13-02-2024 07:48:03,0.614s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,13-02-2024 07:48:03,13-02-2024 07:48:35,31.803s,PASSED
delay(3),Chrome 121.0.0.0,,,13-02-2024 07:48:35,13-02-2024 07:48:38,3.019s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:48:38,13-02-2024 07:48:38,0.404s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:48:40,13-02-2024 07:48:40,0.001s,PASSED
,,,,,,,
Test Cases/Register 02 - Tidak Sesuai Kondisi,Chrome 121.0.0.0,,,13-02-2024 07:48:40,13-02-2024 07:49:08,27.661s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:48:41,13-02-2024 07:48:42,0.877s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:48:42,13-02-2024 07:48:44,1.952s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 07:48:44,13-02-2024 07:48:51,7.217s,PASSED
delay(3),Chrome 121.0.0.0,,,13-02-2024 07:48:51,13-02-2024 07:48:54,3.023s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,13-02-2024 07:48:54,13-02-2024 07:48:55,0.882s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__usernameRegisterPage""), ""test"")",Chrome 121.0.0.0,,,13-02-2024 07:48:55,13-02-2024 07:48:58,2.765s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__emailRegisterPage""), ""mail.com"")",Chrome 121.0.0.0,,,13-02-2024 07:48:58,13-02-2024 07:48:59,1.225s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__passwordRegisterPage""), ""NOZHw6sL/1I="")",Chrome 121.0.0.0,,,13-02-2024 07:48:59,13-02-2024 07:49:00,0.800s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), ""NmLWqEVKCcs="")",Chrome 121.0.0.0,,,13-02-2024 07:49:00,13-02-2024 07:49:01,1.399s,PASSED
