Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,12-02-2024 10:32:46,12-02-2024 10:32:46,0.587s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,12-02-2024 10:32:46,12-02-2024 10:33:18,31.521s,PASSED
delay(3),Chrome 121.0.0.0,,,12-02-2024 10:33:18,12-02-2024 10:33:21,3.006s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 10:33:21,12-02-2024 10:33:21,0.191s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 10:33:23,12-02-2024 10:33:23,0.001s,PASSED
,,,,,,,
Test Cases/Register,Chrome 121.0.0.0,,,12-02-2024 10:33:23,12-02-2024 10:34:33,1m - 9.886s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 10:33:23,12-02-2024 10:33:24,0.814s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 10:33:24,12-02-2024 10:33:27,2.964s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 10:33:27,12-02-2024 10:33:33,6.007s,PASSED
delay(3),Chrome 121.0.0.0,,,12-02-2024 10:33:33,12-02-2024 10:33:36,3.006s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,12-02-2024 10:33:36,12-02-2024 10:33:36,0.372s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__usernameRegisterPage""), username)",Chrome 121.0.0.0,,,12-02-2024 10:33:36,12-02-2024 10:33:38,1.612s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,12-02-2024 10:33:38,12-02-2024 10:33:39,1.241s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,12-02-2024 10:33:39,12-02-2024 10:33:40,0.682s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), password)",Chrome 121.0.0.0,,,12-02-2024 10:33:40,12-02-2024 10:33:41,0.631s,PASSED
